"app.timing","man.source","scenario","app.mthd.rl","app.mthd.sf","incorp.sf","EFp.overall.p.mean","stor.frac.EF.p.mean","EFp.overall.mean","stor.frac.EF.mean","EFp.overall.min","stor.frac.EF.min","EFp.overall.max","stor.frac.EF.max","EFp.overall.sd","stor.frac.EF.sd","EFp.overall.n","stor.frac.EF.n","EFp.overall.b.mean","EFp.overall.b.se","EFp.overall.b.qs.2.5","EFp.overall.b.qs.97.5","stor.frac.EF.b.mean","stor.frac.EF.b.se","stor.frac.EF.b.qs.2.5","stor.frac.EF.b.qs.97.5","EFp.overall.b.mean","EFp.overall.b.se","EFp.overall.b.qs.5","EFp.overall.b.qs.95","EFp.overall.se","EFp.overall.p.qs.5","EFp.overall.p.qs.95","sep","EF.type"
"Summer","Digestate","ref","Trailing hose","(None)","none",36.61208, 7.101481,36.61208, 7.101481,36.61208, 7.101481,36.61208, 7.101481,NA,NA, 1, 1,15.67000000,10.43406910, 1.47500000,35.00000000, 4.1700000, 2.0002778, 1.0000000, 7.0000000,15.67000,10.43406910, 1.47500,35.00000,NA,NA,NA,FALSE,"Reference"
"April","Pig","ref","Trailing hose","(None)","none",15.85825, 8.197626,15.85825, 8.197626,15.85825, 8.197626,15.85825, 8.197626,NA,NA, 1, 1, 8.04000000, 4.35059499, 1.00000000,15.00000000, 4.3800000, 2.1356994, 1.0000000, 8.0000000, 8.04000, 4.35059499, 1.00000,15.00000,NA,NA,NA,FALSE,"Reference"
"Autumn","Pig","ref","Trailing hose","(None)","none",16.46032, 7.897781,16.46032, 7.897781,16.46032, 7.897781,16.46032, 7.897781,NA,NA, 1, 1, 8.71000000, 4.53113806, 1.00000000,15.52500000, 4.3600000, 1.8776732, 1.0000000, 7.0000000, 8.71000, 4.53113806, 1.00000,15.52500,NA,NA,NA,FALSE,"Reference"
"March","Pig","ref","Trailing hose","(None)","none",15.15748, 8.576624,15.15748, 8.576624,15.15748, 8.576624,15.15748, 8.576624,NA,NA, 1, 1, 8.40000000, 3.81120093, 1.47500000,15.00000000, 4.7400000, 2.2724525, 1.0000000, 8.0000000, 8.40000, 3.81120093, 1.47500,15.00000,NA,NA,NA,FALSE,"Reference"
"May","Pig","ref","Trailing hose","(None)","none",16.32214, 7.964642,16.32214, 7.964642,16.32214, 7.964642,16.32214, 7.964642,NA,NA, 1, 1, 9.04000000, 4.49673282, 1.00000000,16.00000000, 4.1000000, 1.8829377, 1.0000000, 7.0000000, 9.04000, 4.49673282, 1.00000,16.00000,NA,NA,NA,FALSE,"Reference"
"Summer","Pig","ref","Trailing hose","(None)","none",16.61824, 7.822730,16.61824, 7.822730,16.61824, 7.822730,16.61824, 7.822730,NA,NA, 1, 1, 8.63000000, 4.78561607, 1.00000000,16.00000000, 4.2400000, 1.8701267, 1.0000000, 7.0000000, 8.63000, 4.78561607, 1.00000,16.00000,NA,NA,NA,FALSE,"Reference"
"April","Cattle","ref","Trailing shoe","(None)","none",19.77737, 8.595683,19.77737, 8.595683,19.77737, 8.595683,19.77737, 8.595683,NA,NA, 1, 1,10.48000000, 5.19222418, 2.00000000,19.00000000, 4.5700000, 2.2574456, 1.0000000, 8.0000000,10.48000, 5.19222418, 2.00000,19.00000,NA,NA,NA,FALSE,"Reference"
"Autumn","Cattle","ref","Trailing shoe","(None)","none",25.97027, 6.545947,25.97027, 6.545947,25.97027, 6.545947,25.97027, 6.545947,NA,NA, 1, 1,11.79000000, 6.66862850, 1.00000000,23.52500000, 3.2000000, 1.7465695, 1.0000000, 6.0000000,11.79000, 6.66862850, 1.00000,23.52500,NA,NA,NA,FALSE,"Reference"
"March","Cattle","ref","Trailing shoe","(None)","none",15.93384,10.669117,15.93384,10.669117,15.93384,10.669117,15.93384,10.669117,NA,NA, 1, 1, 7.40000000, 4.51260860, 1.00000000,15.00000000, 5.7200000, 3.0750873, 1.0000000,10.0000000, 7.40000, 4.51260860, 1.00000,15.00000,NA,NA,NA,FALSE,"Reference"
"May","Cattle","ref","Trailing shoe","(None)","none",24.16155, 7.035972,24.16155, 7.035972,24.16155, 7.035972,24.16155, 7.035972,NA,NA, 1, 1,13.27000000, 6.81628324, 2.00000000,24.00000000, 3.8900000, 1.9221989, 1.0000000, 7.0000000,13.27000, 6.81628324, 2.00000,24.00000,NA,NA,NA,FALSE,"Reference"
"Summer","Cattle","ref","Trailing shoe","(None)","none",28.52607, 5.959461,28.52607, 5.959461,28.52607, 5.959461,28.52607, 5.959461,NA,NA, 1, 1,14.42000000, 7.81629998, 1.47500000,27.52500000, 2.9500000, 1.4590366, 1.0000000, 5.0000000,14.42000, 7.81629998, 1.47500,27.52500,NA,NA,NA,FALSE,"Reference"
"April","Digestate","ref","Trailing shoe","(None)","none",31.51806, 8.249239,31.51806, 8.249239,31.51806, 8.249239,31.51806, 8.249239,NA,NA, 1, 1,15.77000000, 8.98579687, 1.00000000,31.00000000, 4.4600000, 2.1339961, 1.0000000, 8.0000000,15.77000, 8.98579687, 1.00000,31.00000,NA,NA,NA,FALSE,"Reference"
"Autumn","Digestate","ref","Trailing shoe","(None)","none",34.39136, 7.560038,34.39136, 7.560038,34.39136, 7.560038,34.39136, 7.560038,NA,NA, 1, 1,16.90000000, 9.60061025, 2.00000000,33.00000000, 3.8100000, 2.0235732, 1.0000000, 7.0000000,16.90000, 9.60061025, 2.00000,33.00000,NA,NA,NA,FALSE,"Reference"
"March","Digestate","ref","Trailing shoe","(None)","none",28.57658, 9.098360,28.57658, 9.098360,28.57658, 9.098360,28.57658, 9.098360,NA,NA, 1, 1,14.12000000, 7.86281364, 2.00000000,27.00000000, 4.4200000, 2.5866011, 1.0000000, 9.0000000,14.12000, 7.86281364, 2.00000,27.00000,NA,NA,NA,FALSE,"Reference"
"May","Digestate","ref","Trailing shoe","(None)","none",33.69982, 7.715175,33.69982, 7.715175,33.69982, 7.715175,33.69982, 7.715175,NA,NA, 1, 1,18.45000000, 9.55935736, 1.47500000,32.52500000, 3.8700000, 2.0033053, 1.0000000, 7.0000000,18.45000, 9.55935736, 1.47500,32.52500,NA,NA,NA,FALSE,"Reference"
"Summer","Digestate","ref","Trailing shoe","(None)","none",35.23874, 7.378243,35.23874, 7.378243,35.23874, 7.378243,35.23874, 7.378243,NA,NA, 1, 1,17.34000000, 9.47108305, 1.47500000,34.00000000, 4.2500000, 1.9089105, 1.0000000, 7.0000000,17.34000, 9.47108305, 1.47500,34.00000,NA,NA,NA,FALSE,"Reference"
"April","Pig","ref","Trailing shoe","(None)","none",14.38762, 9.035546,14.38762, 9.035546,14.38762, 9.035546,14.38762, 9.035546,NA,NA, 1, 1, 8.16000000, 3.92021438, 1.00000000,14.00000000, 4.8900000, 2.6165557, 1.0000000, 9.0000000, 8.16000, 3.92021438, 1.00000,14.00000,NA,NA,NA,FALSE,"Reference"
"Autumn","Pig","ref","Trailing shoe","(None)","none",15.59176, 8.337737,15.59176, 8.337737,15.59176, 8.337737,15.59176, 8.337737,NA,NA, 1, 1, 7.60000000, 4.51708317, 1.00000000,15.00000000, 4.3200000, 2.3001098, 1.0000000, 8.0000000, 7.60000, 4.51708317, 1.00000,15.00000,NA,NA,NA,FALSE,"Reference"
"March","Pig","ref","Trailing shoe","(None)","none",13.28218, 9.787550,13.28218, 9.787550,13.28218, 9.787550,13.28218, 9.787550,NA,NA, 1, 1, 6.46000000, 3.94512869, 1.00000000,13.00000000, 4.9600000, 2.7002432, 1.0000000, 9.0000000, 6.46000, 3.94512869, 1.00000,13.00000,NA,NA,NA,FALSE,"Reference"
"May","Pig","ref","Trailing shoe","(None)","none",15.28579, 8.504631,15.28579, 8.504631,15.28579, 8.504631,15.28579, 8.504631,NA,NA, 1, 1, 7.86000000, 4.53275397, 1.00000000,15.00000000, 4.3500000, 2.3500484, 1.0000000, 8.0000000, 7.86000, 4.53275397, 1.00000,15.00000,NA,NA,NA,FALSE,"Reference"
"Summer","Pig","ref","Trailing shoe","(None)","none",15.96682, 8.141884,15.96682, 8.141884,15.96682, 8.141884,15.96682, 8.141884,NA,NA, 1, 1, 8.58000000, 4.08045353, 1.00000000,15.00000000, 4.5100000, 2.3804549, 1.0000000, 8.0000000, 8.58000, 4.08045353, 1.00000,15.00000,NA,NA,NA,FALSE,"Reference"
"April","Cattle","sep","Open slot injection","Broadcast","none",15.27498,13.116898,15.27498,13.116898,12.00661,11.601717,18.66792,14.205653,1.8567402,0.7175020,27,27,15.31165699, 0.34499498,14.69856603,15.94840084,13.1272061, 0.1413577,12.8264992,13.3808594,15.31166, 0.34499498,14.69857,15.94840,0.35732982,14.54048,16.00948,TRUE,"Separation"
"Autumn","Cattle","sep","Open slot injection","Broadcast","none",16.67396,12.072342,16.67396,12.072342,12.59067,10.452781,21.35446,13.554819,2.4971454,0.8564215,27,27,16.65536448, 0.49086352,15.71944562,17.80211951,12.0585627, 0.1539748,11.7783112,12.3637930,16.65536, 0.49086352,15.71945,17.80212,0.48057586,15.68613,17.66180,TRUE,"Separation"
"March","Cattle","sep","Open slot injection","Broadcast","none",14.20454,14.072995,14.20454,14.072995,11.20783,12.358974,16.73760,15.218091,1.4418517,0.7186166,27,27,14.18836579, 0.27014660,13.71760073,14.72192085,14.0744634, 0.1539141,13.8009835,14.3581510,14.18837, 0.27014660,13.71760,14.72192,0.27748448,13.63417,14.77492,TRUE,"Separation"
"May","Cattle","sep","Open slot injection","Broadcast","none",16.29365,12.336454,16.29365,12.336454,12.51586,10.729673,20.60322,13.649223,2.3144361,0.8095544,27,27,16.36308778, 0.42746447,15.66745533,17.39046515,12.3432612, 0.1583785,12.0472118,12.6499480,16.36309, 0.42746447,15.66746,17.39047,0.44541344,15.37809,17.20921,TRUE,"Separation"
"Summer","Cattle","sep","Open slot injection","Broadcast","none",17.17913,11.742126,17.17913,11.742126,12.68733,10.105839,22.35984,13.458359,2.7493700,0.9267207,27,27,17.26868673, 0.44330654,16.34248383,18.09708813,11.7250976, 0.1712976,11.3980996,12.0653943,17.26869, 0.44330654,16.34248,18.09709,0.52911650,16.09151,18.26674,TRUE,"Separation"
"April","Digestate","sep","Open slot injection","Broadcast","none",21.28159,16.566156,21.28159,16.566156,17.26208,13.049027,32.73821,20.389729,3.0505426,1.5811266,33,33,21.26821239, 0.55446546,20.30436766,22.34204728,16.5535319, 0.2374355,16.1480475,17.0736562,21.26821, 0.55446546,20.30437,22.34205,0.53103131,20.19991,22.36326,TRUE,"Separation"
"Autumn","Digestate","sep","Open slot injection","Broadcast","none",21.72376,16.239602,21.72376,16.239602,17.35419,12.852555,34.29546,19.463898,3.3421164,1.4213109,33,33,21.73021678, 0.51006244,20.84295621,22.74368927,16.2321835, 0.2981038,15.7626166,16.8085822,21.73022, 0.51006244,20.84296,22.74369,0.58178778,20.53869,22.90882,TRUE,"Separation"
"March","Digestate","sep","Open slot injection","Broadcast","none",20.79522,16.944632,20.79522,16.944632,17.14849,13.296743,31.09321,21.468461,2.7472627,1.7636552,33,33,20.86571217, 0.51148629,19.97976756,21.87641184,16.9135759, 0.2853470,16.3714162,17.3883630,20.86571, 0.51148629,19.97977,21.87641,0.47823706,19.82108,21.76936,TRUE,"Separation"
"May","Digestate","sep","Open slot injection","Broadcast","none",21.62074,16.314190,21.62074,16.314190,17.33176,12.899379,33.92597,19.675881,3.2728540,1.4573917,33,33,21.62579304, 0.56117566,20.56254768,22.77064937,16.3140167, 0.2634371,15.7173737,16.7574624,21.62579, 0.56117566,20.56255,22.77065,0.56973076,20.46024,22.78125,TRUE,"Separation"
"Summer","Digestate","sep","Open slot injection","Broadcast","none",21.84859,16.150275,21.84859,16.150275,17.37922,12.805014,34.74272,19.213329,3.4262814,1.3779554,33,33,21.82314340, 0.57869155,20.83355866,22.92763521,16.1082849, 0.2344644,15.7267095,16.5464116,21.82314, 0.57869155,20.83356,22.92764,0.59643903,20.63368,23.06350,TRUE,"Separation"
"April","Pig","sep","Open slot injection","Broadcast","none",15.40147,18.945179,15.40147,18.945179,13.10563,15.854519,21.72046,24.126930,2.5501267,2.4043800,24,24,15.39782534, 0.51619391,14.48453956,16.47056290,18.9960972, 0.4870214,18.0938151,19.9094742,15.39783, 0.51619391,14.48454,16.47056,0.52054244,14.32465,16.47829,TRUE,"Separation"
"Autumn","Pig","sep","Open slot injection","Broadcast","none",16.47526,17.730172,16.47526,17.730172,13.76904,15.192154,24.17449,21.677728,3.1084805,1.8692625,24,24,16.46798371, 0.63394494,15.31106471,17.74988804,17.7403793, 0.4027030,17.1085227,18.5665704,16.46798, 0.63394494,15.31106,17.74989,0.63451593,15.16266,17.78786,TRUE,"Separation"
"March","Pig","sep","Open slot injection","Broadcast","none",14.57509,20.013383,14.57509,20.013383,12.58107,16.408708,19.86557,26.379712,2.1349484,2.9079038,24,24,14.63689473, 0.38661204,13.88290009,15.29876476,20.0765089, 0.5615075,19.0439179,21.2305978,14.63689, 0.38661204,13.88290,15.29876,0.43579452,13.67358,15.47660,TRUE,"Separation"
"May","Pig","sep","Open slot injection","Broadcast","none",16.18687,18.039451,16.18687,18.039451,13.59180,15.359554,23.51142,22.289091,2.9568990,2.0013495,24,24,16.25525581, 0.61628325,15.15883980,17.49477216,18.0865347, 0.4165421,17.3265934,18.8815815,16.25526, 0.61628325,15.15884,17.49477,0.60357449,14.93828,17.43546,TRUE,"Separation"
"Summer","Pig","sep","Open slot injection","Broadcast","none",16.85285,17.342321,16.85285,17.342321,13.99998,14.980696,25.04402,20.925076,3.3081181,1.7081968,24,24,16.95622593, 0.66762125,15.69294338,18.45576418,17.3362892, 0.3517264,16.6438135,18.0674415,16.95623, 0.66762125,15.69294,18.45576,0.67526679,15.45595,18.24974,TRUE,"Separation"
"April","Cattle","sep","Trailing hose","Broadcast","none",22.67481, 8.845590,22.67481, 8.845590,19.62592, 6.959652,28.11863,10.180534,2.3247656,0.8659460,27,27,22.67074368, 0.44155332,21.86092749,23.45492880, 8.8277340, 0.1607571, 8.5237368, 9.1342537,22.67074, 0.44155332,21.86093,23.45493,0.44740135,21.75516,23.59445,TRUE,"Separation"
"Autumn","Cattle","sep","Trailing hose","Broadcast","none",24.90353, 8.072696,24.90353, 8.072696,21.18869, 6.104589,32.05717, 9.235863,3.0357707,0.8090957,27,27,24.96490784, 0.61952945,23.87046037,26.25250424, 8.0473015, 0.1556648, 7.7174823, 8.3204984,24.96491, 0.61952945,23.87046,26.25250,0.58423434,23.70262,26.10445,TRUE,"Separation"
"March","Cattle","sep","Trailing hose","Broadcast","none",20.69971, 9.674520,20.69971, 9.674520,18.26395, 7.822317,24.55383,11.339644,1.8085506,0.9254315,27,27,20.69764430, 0.31519562,20.17100362,21.32331087, 9.6968918, 0.1878280, 9.3211256,10.0355833,20.69764, 0.31519562,20.17100,21.32331,0.34805573,19.98427,21.41515,TRUE,"Separation"
"May","Cattle","sep","Trailing hose","Broadcast","none",24.32877, 8.258025,24.32877, 8.258025,20.77837, 6.299705,31.06429, 9.418247,2.8420386,0.8224069,27,27,24.36462870, 0.57765484,23.28050715,25.51910273, 8.2327459, 0.1628420, 7.9108561, 8.5271994,24.36463, 0.57765484,23.28051,25.51910,0.54695058,23.20449,25.45304,TRUE,"Separation"
"Summer","Cattle","sep","Trailing hose","Broadcast","none",25.64309, 7.846855,25.64309, 7.846855,21.52973, 5.873421,33.31889, 9.012802,3.2936125,0.7938301,27,27,25.62891772, 0.60930294,24.63880044,26.84188203, 7.8205333, 0.1524534, 7.5050609, 8.1109670,25.62892, 0.60930294,24.63880,26.84188,0.63385603,24.34018,26.94600,TRUE,"Separation"
"April","Digestate","sep","Trailing hose","Broadcast","none",29.48601,12.036751,29.48601,12.036751,23.30513, 7.900788,40.09599,16.648131,3.6253616,1.9742867,33,33,29.51300359, 0.61748568,28.43463669,30.70535528,11.9892537, 0.3160403,11.3544206,12.5729439,29.51300, 0.61748568,28.43464,30.70536,0.63109445,28.20051,30.77150,TRUE,"Separation"
"Autumn","Digestate","sep","Trailing hose","Broadcast","none",30.18350,11.762037,30.18350,11.762037,23.52254, 7.686078,41.90383,15.929887,3.9321581,1.8814748,33,33,30.21534042, 0.61697798,29.09475324,31.44910299,11.7040354, 0.3251590,11.1034970,12.2363896,30.21534, 0.61697798,29.09475,31.44910,0.68450086,28.78921,31.57778,TRUE,"Separation"
"March","Digestate","sep","Trailing hose","Broadcast","none",28.66867,12.375334,28.66867,12.375334,23.02769, 8.185398,38.11686,17.512549,3.2870975,2.0793426,33,33,28.70925820, 0.55384624,27.79182532,29.73459553,12.3553576, 0.3845557,11.6277217,13.0059540,28.70926, 0.55384624,27.79183,29.73460,0.57221023,27.50312,29.83423,TRUE,"Separation"
"May","Digestate","sep","Trailing hose","Broadcast","none",30.02487,11.823412,30.02487,11.823412,23.47119, 7.732670,41.47866,16.093177,3.8605271,1.9029203,33,33,29.91455665, 0.63943405,28.68619883,30.94804445,11.7769476, 0.3135066,11.2297959,12.4105305,29.91456, 0.63943405,28.68620,30.94804,0.67203150,28.65599,31.39375,TRUE,"Separation"
"Summer","Digestate","sep","Trailing hose","Broadcast","none",30.37173,11.690102,30.37173,11.690102,23.58611, 7.631315,42.41374,15.738373,4.0181344,1.8563925,33,33,30.29112662, 0.72943418,28.70373183,31.80854055,11.6752557, 0.3409192,10.9716039,12.2360000,30.29113, 0.72943418,28.70373,31.80854,0.69946742,28.94697,31.79650,TRUE,"Separation"
"April","Pig","sep","Trailing hose","Broadcast","none",17.85569,16.359611,17.85569,16.359611,15.77653,12.907326,23.38135,22.413084,2.2055764,2.8370944,24,24,17.82399244, 0.40268033,17.08150425,18.73235156,16.3829767, 0.5652011,15.4029871,17.4610593,17.82399, 0.40268033,17.08150,18.73235,0.45021139,16.92436,18.78703,TRUE,"Separation"
"Autumn","Pig","sep","Trailing hose","Broadcast","none",19.04616,15.329337,19.04616,15.329337,16.57842,12.366371,25.90111,20.232649,2.7332997,2.3558928,24,24,18.95212167, 0.48859528,17.93040804,19.86601893,15.2923704, 0.4749298,14.4364702,16.2485551,18.95212, 0.48859528,17.93041,19.86602,0.55793247,17.89199,20.20033,TRUE,"Separation"
"March","Pig","sep","Trailing hose","Broadcast","none",16.88132,17.317683,16.88132,17.317683,15.11716,13.431772,21.44392,24.438069,1.8248271,3.2718411,24,24,16.88142640, 0.38123495,16.21397510,17.69514520,17.2847921, 0.6342134,16.0498257,18.5208471,16.88143, 0.38123495,16.21398,17.69515,0.37249128,16.11077,17.65188,TRUE,"Separation"
"May","Pig","sep","Trailing hose","Broadcast","none",18.73164,15.587776,18.73164,15.587776,16.36374,12.503652,25.22124,20.778050,2.5891181,2.4756423,24,24,18.71623770, 0.47659528,17.90714299,19.64971909,15.6324471, 0.4505424,14.9380501,16.6503010,18.71624, 0.47659528,17.90714,19.64972,0.52850152,17.63835,19.82493,TRUE,"Separation"
"Summer","Pig","sep","Trailing hose","Broadcast","none",19.45398,15.007591,19.45398,15.007591,16.85187,12.194135,26.78744,19.563201,2.9240127,2.2079561,24,24,19.41737151, 0.54911070,18.56953778,20.54484161,15.0577195, 0.4740553,14.2282647,16.0334195,19.41737, 0.54911070,18.56954,20.54484,0.59686159,18.21928,20.68868,TRUE,"Separation"
"April","Cattle","sep","Trailing shoe","Broadcast","none",20.08440, 9.958422,20.08440, 9.958422,16.18741, 8.247737,23.00737,10.874892,1.8953680,0.7073307,27,27,20.06732584, 0.31282328,19.43820618,20.65656402, 9.9772526, 0.1156736, 9.7393650,10.1910111,20.06733, 0.31282328,19.43821,20.65656,0.36476375,19.33461,20.83418,TRUE,"Separation"
"Autumn","Cattle","sep","Trailing shoe","Broadcast","none",23.26308, 8.617507,23.26308, 8.617507,19.60567, 7.017158,27.88819, 9.650442,2.6209935,0.6825741,27,27,23.34006520, 0.50637103,22.50569326,24.31345490, 8.6212733, 0.1240167, 8.3468636, 8.8224493,23.34007, 0.50637103,22.50569,24.31345,0.50441044,22.22624,24.29991,TRUE,"Separation"
"March","Cattle","sep","Trailing shoe","Broadcast","none",17.57618,11.373867,17.57618,11.373867,13.51414, 9.076750,20.00763,12.620982,1.5168288,0.8206046,27,27,17.57165396, 0.26523848,17.08342843,18.06048140,11.3621342, 0.1669435,11.0712580,11.6416625,17.57165, 0.26523848,17.08343,18.06048,0.29191385,16.97615,18.17622,TRUE,"Separation"
"May","Cattle","sep","Trailing shoe","Broadcast","none",22.41506, 8.936282,22.41506, 8.936282,19.04780, 7.424462,26.43036, 9.936238,2.3997715,0.6792166,27,27,22.38610077, 0.42789818,21.67411291,23.22986280, 8.9411869, 0.1435193, 8.7069538, 9.2144273,22.38610, 0.42789818,21.67411,23.22986,0.46183624,21.46574,23.36438,TRUE,"Separation"
"Summer","Cattle","sep","Trailing shoe","Broadcast","none",24.38027, 8.233076,24.38027, 8.233076,20.31378, 6.531897,29.96004, 9.301352,2.9386173,0.6943745,27,27,24.31629962, 0.52067529,23.40156715,25.32152101, 8.2364893, 0.1202525, 7.9404515, 8.4697071,24.31630, 0.52067529,23.40157,25.32152,0.56553716,23.21779,25.54274,TRUE,"Separation"
"April","Digestate","sep","Trailing shoe","Broadcast","none",28.43293,12.453917,28.43293,12.453917,22.78467, 8.546627,39.05184,17.093261,3.3499898,1.9138476,33,33,28.34934740, 0.59266925,27.43495034,29.77316253,12.4542492, 0.3069330,11.9771298,13.0503336,28.34935, 0.59266925,27.43495,29.77316,0.58315837,27.24507,29.62078,TRUE,"Separation"
"Autumn","Digestate","sep","Trailing shoe","Broadcast","none",29.66237,11.954256,29.66237,11.954256,23.27195, 7.991935,41.38872,16.128146,3.7849203,1.8486784,33,33,29.68114834, 0.58563904,28.78756351,30.99207764,11.9083028, 0.3367020,11.3593849,12.5544310,29.68115, 0.58563904,28.78756,30.99208,0.65887005,28.32029,31.00444,TRUE,"Separation"
"March","Digestate","sep","Trailing shoe","Broadcast","none",27.05026,13.072887,27.05026,13.072887,22.17955, 9.242293,36.52279,18.276900,2.9030899,1.9987486,33,33,27.06173990, 0.49478872,26.09146403,27.86026721,13.0562703, 0.3615384,12.3455800,13.6967284,27.06174, 0.49478872,26.09146,27.86027,0.50536308,26.02087,28.07965,TRUE,"Separation"
"May","Digestate","sep","Trailing shoe","Broadcast","none",29.37875,12.065632,29.37875,12.065632,23.16278, 8.114793,40.83824,16.345545,3.6809873,1.8631549,33,33,29.30913903, 0.69792766,28.04078589,30.52140232,12.0609090, 0.3347526,11.3961639,12.6585152,29.30914, 0.69792766,28.04079,30.52140,0.64077764,28.07353,30.68397,TRUE,"Separation"
"Summer","Digestate","sep","Trailing shoe","Broadcast","none",30.00069,11.824315,30.00069,11.824315,23.40299, 7.847999,42.04481,15.876473,3.9110426,1.8321780,33,33,29.97177870, 0.64783994,28.56856012,31.17172217,11.8199924, 0.3252194,11.3525020,12.5004990,29.97178, 0.64783994,28.56856,31.17172,0.68082512,28.61389,31.38748,TRUE,"Separation"
"April","Pig","sep","Trailing shoe","Broadcast","none",17.41631,16.761367,17.41631,16.761367,15.26256,13.347779,23.13302,22.653685,2.2829350,2.7445940,24,24,17.43863609, 0.39063260,16.72695636,18.22029622,16.7776872, 0.5785007,15.8856025,18.1068543,17.43864, 0.39063260,16.72696,18.22030,0.46600215,16.45231,18.38031,TRUE,"Separation"
"Autumn","Pig","sep","Trailing shoe","Broadcast","none",18.81684,15.512788,18.81684,15.512788,16.34388,12.571724,25.77695,20.330107,2.7760010,2.3056796,24,24,18.79482298, 0.58445489,17.82093209,19.90631690,15.5191777, 0.4495419,14.6556111,16.4296814,18.79482, 0.58445489,17.82093,19.90632,0.56664883,17.64464,19.98904,TRUE,"Separation"
"March","Pig","sep","Trailing shoe","Broadcast","none",16.24642,17.973428,16.24642,17.973428,14.32377,14.135605,21.07143,24.870077,1.9306536,3.1478863,24,24,16.25336056, 0.39157381,15.61052941,17.34545386,17.9007273, 0.6540764,16.7721929,19.1448175,16.25336, 0.39157381,15.61053,17.34545,0.39409302,15.43118,17.06166,TRUE,"Separation"
"May","Pig","sep","Trailing shoe","Broadcast","none",18.44909,15.821743,18.44909,15.821743,16.06793,12.762022,25.06786,20.905182,2.6404969,2.4153491,24,24,18.49906711, 0.59467254,17.39153090,19.71637710,15.7627071, 0.4778275,15.0829323,16.7398343,18.49907, 0.59467254,17.39153,19.71638,0.53898918,17.33411,19.56408,TRUE,"Separation"
"Summer","Pig","sep","Trailing shoe","Broadcast","none",19.28727,15.135344,19.28727,15.135344,16.69936,12.341622,26.69249,19.632791,2.9549703,2.1712899,24,24,19.30372217, 0.57086186,18.05986936,20.44417467,15.1438802, 0.4335183,14.4513083,15.9319910,19.30372, 0.57086186,18.05987,20.44417,0.60318078,18.03949,20.53504,TRUE,"Separation"
