"man.source","scenario","incorp.sf","t.incorp.sf","app.mthd.rl","app.mthd.sf","app.rate.ni","app.timing","air.temp","wind.2m","rain.rate","ct","tan.app","man.dm","man.ph","app.mthd","id","stype","EF.field.raw","EF.stor.raw","EF.stor.lf","EF.stor.sf","N.loss.stor.sf","EF.overall","stor.frac.EF","man.dm.lf","man.ph.lf","EF.field.lf","man.dm.sf","man.ph.sf","source","rdDM.lf","dpH.lf","TAN.sep.eff.sf","id.sep","incorp","t.incorp","EF.field.sf","EFp.overall","sep","EF.type"
"Pig","ref","none",NA,"Open slot injection","(None)",0,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,3.9,7.2,"Open slot injection","raw 2","raw",0.09636,0.013,0.013,0.164556962025316,0.354430379746835,0.10810732,12.0250876628891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.810732,FALSE,"Reference"
"Pig","ref","none",NA,"Trailing shoe","(None)",30,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,3.9,7.2,"Trailing shoe","raw 3","raw",0.1214,0.013,0.013,0.164556962025316,0.354430379746835,0.1328218,9.78754993532688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.28218,FALSE,"Reference"
"Pig","ref","none",NA,"Trailing hose","(None)",30,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,3.9,7.2,"Trailing hose","raw 4","raw",0.1475,0.013,0.013,0.164556962025316,0.354430379746835,0.1585825,8.197625841439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.85825,FALSE,"Reference"
"Pig","ref","none",NA,"Open slot injection","(None)",0,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,3.9,7.2,"Open slot injection","raw 5","raw",0.0982,0.013,0.013,0.164556962025316,0.354430379746835,0.1099234,11.8264173051416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.99234,FALSE,"Reference"
"Pig","ref","none",NA,"Trailing shoe","(None)",30,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,3.9,7.2,"Trailing shoe","raw 6","raw",0.1326,0.013,0.013,0.164556962025316,0.354430379746835,0.1438762,9.03554583732403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.38762,FALSE,"Reference"
"Pig","ref","none",NA,"Trailing hose","(None)",30,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,3.9,7.2,"Trailing hose","raw 7","raw",0.1522,0.013,0.013,0.164556962025316,0.354430379746835,0.1632214,7.96464189132062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.32214,FALSE,"Reference"
"Pig","ref","none",NA,"Open slot injection","(None)",0,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,3.9,7.2,"Open slot injection","raw 8","raw",0.09943,0.013,0.013,0.164556962025316,0.354430379746835,0.11113741,11.6972313823041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.113741,FALSE,"Reference"
"Pig","ref","none",NA,"Trailing shoe","(None)",30,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,3.9,7.2,"Trailing shoe","raw 9","raw",0.1417,0.013,0.013,0.164556962025316,0.354430379746835,0.1528579,8.50463077145506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.28579,FALSE,"Reference"
"Pig","ref","none",NA,"Trailing hose","(None)",30,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,3.9,7.2,"Trailing hose","raw 10","raw",0.1552,0.013,0.013,0.164556962025316,0.354430379746835,0.1661824,7.82272972348456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.61824,FALSE,"Reference"
"Pig","ref","none",NA,"Open slot injection","(None)",0,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,3.9,7.2,"Open slot injection","raw 11","raw",0.1002,0.013,0.013,0.164556962025316,0.354430379746835,0.1118974,11.6177855785747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.18974,FALSE,"Reference"
