"app.timing","man.source","stype","scenario","app.mthd","incorp","EFp.field.p.mean","EFp.field.mean","EFp.field.min","EFp.field.max","EFp.field.sd","EFp.field.n","EFp.field.se","EFp.field.p.qs.5","EFp.field.p.qs.95","sep","EF.type"
"Autumn","Digestate","lf","sep","Trailing hose","none",25.1348484848485,25.1348484848485,19.08,33.12,3.11852541396984,33,0.542865594102142,24.0290674552046,26.2406295144924,TRUE,"LF"
"March","Digestate","lf","sep","Trailing hose","none",24.239696969697,24.239696969697,18.82,30.98,2.71069004688899,33,0.471870569384876,23.2785280731194,25.2008658662745,TRUE,"LF"
"May","Digestate","lf","sep","Trailing hose","none",25.0506060606061,25.0506060606061,19.05,32.91,3.07807563604472,33,0.535824191577009,23.9591678985503,26.1420442226618,TRUE,"LF"
"Summer","Digestate","lf","sep","Trailing hose","none",25.2333333333333,25.2333333333333,19.1,33.37,3.16643694342184,33,0.551205920842399,24.1105636140568,26.3561030526098,TRUE,"LF"
"April","Pig","lf","sep","Trailing hose","none",12.2254166666667,12.2254166666667,11.43,13.84,0.708181867863768,24,0.144557018446444,11.9263776903179,12.5244556430154,TRUE,"LF"
"Autumn","Pig","lf","sep","Trailing hose","none",12.4016666666667,12.4016666666667,11.54,14.18,0.767642730909921,24,0.156694416290493,12.0775195698972,12.7258137634362,TRUE,"LF"
"March","Pig","lf","sep","Trailing hose","none",12.0033333333333,12.0033333333333,11.29,13.43,0.636639729303423,24,0.12995354056475,11.7345039526432,12.2721627140235,TRUE,"LF"
"May","Pig","lf","sep","Trailing hose","none",12.3625,12.3625,11.52,14.1,0.752764470353169,24,0.153657404071808,12.0446354416696,12.6803645583304,TRUE,"LF"
"Summer","Pig","lf","sep","Trailing hose","none",12.4470833333333,12.4470833333333,11.57,14.27,0.78375616864179,24,0.159983557994259,12.1161321285466,12.7780345381201,TRUE,"LF"
"April","Cattle","lf","sep incorp sf","Trailing hose","none",19.1807407407407,19.1807407407407,16.15,25.48,2.32476785594725,27,0.447401782478178,18.2610932059556,20.1003882755259,TRUE,"LF"
