"app.timing.dk","app.timing","air.temp","wind.2m","rain.rate","app.mthd","incorp","t.incorp","app.rate.ni","man.name","man.source","acid","man.dm","man.ph","man.source.pig","app.mthd.os","app.mthd.cs","incorp.deep","incorp.shallow","ct","tan.app","id","EF","EFp"
"Sommer","Summer",16.867,3.18167,0.09,"Trailing hose","Shallow",4,30,"Afgasset biomasse","Digestate",FALSE,5.1,7.9,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,59,0.23,23
"Efterår","Autumn",14.6,3.45,0.09,"Trailing hose","Shallow",4,30,"Afgasset biomasse","Digestate",FALSE,5.1,7.9,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,60,0.21,21
"Marts","March",4.9,4.025,0.09,"Trailing hose","Deep",4,30,"Afgasset biomasse","Digestate",FALSE,5.1,7.9,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,61,0.087,8.7
"April","April",8.5,3.91,0.09,"Trailing hose","Deep",4,30,"Afgasset biomasse","Digestate",FALSE,5.1,7.9,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,62,0.13,13
"Maj","May",12.4,3.565,0.09,"Trailing hose","Deep",4,30,"Afgasset biomasse","Digestate",FALSE,5.1,7.9,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,63,0.17,17
"Sommer","Summer",16.867,3.18167,0.09,"Trailing hose","Deep",4,30,"Afgasset biomasse","Digestate",FALSE,5.1,7.9,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,64,0.2,20
"Efterår","Autumn",14.6,3.45,0.09,"Trailing hose","Deep",4,30,"Afgasset biomasse","Digestate",FALSE,5.1,7.9,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,65,0.19,19
"Marts","March",4.9,4.025,0.09,"Open slot injection","None",NA,0,"Afgasset biomasse","Digestate",FALSE,5.1,7.9,FALSE,TRUE,FALSE,FALSE,FALSE,168,100,66,0.16,16
"April","April",8.5,3.91,0.09,"Open slot injection","None",NA,0,"Afgasset biomasse","Digestate",FALSE,5.1,7.9,FALSE,TRUE,FALSE,FALSE,FALSE,168,100,67,0.17,17
"Maj","May",12.4,3.565,0.09,"Open slot injection","None",NA,0,"Afgasset biomasse","Digestate",FALSE,5.1,7.9,FALSE,TRUE,FALSE,FALSE,FALSE,168,100,68,0.17,17
"Sommer","Summer",16.867,3.18167,0.09,"Open slot injection","None",NA,0,"Afgasset biomasse","Digestate",FALSE,5.1,7.9,FALSE,TRUE,FALSE,FALSE,FALSE,168,100,69,0.17,17
"Efterår","Autumn",14.6,3.45,0.09,"Open slot injection","None",NA,0,"Afgasset biomasse","Digestate",FALSE,5.1,7.9,FALSE,TRUE,FALSE,FALSE,FALSE,168,100,70,0.17,17
"Marts","March",4.9,4.025,0.09,"Closed slot injection","None",NA,0,"Afgasset biomasse","Digestate",FALSE,5.1,7.9,FALSE,FALSE,TRUE,FALSE,FALSE,168,100,71,0.026,2.6
"April","April",8.5,3.91,0.09,"Closed slot injection","None",NA,0,"Afgasset biomasse","Digestate",FALSE,5.1,7.9,FALSE,FALSE,TRUE,FALSE,FALSE,168,100,72,0.026,2.6
"Maj","May",12.4,3.565,0.09,"Closed slot injection","None",NA,0,"Afgasset biomasse","Digestate",FALSE,5.1,7.9,FALSE,FALSE,TRUE,FALSE,FALSE,168,100,73,0.026,2.6
"Sommer","Summer",16.867,3.18167,0.09,"Closed slot injection","None",NA,0,"Afgasset biomasse","Digestate",FALSE,5.1,7.9,FALSE,FALSE,TRUE,FALSE,FALSE,168,100,74,0.026,2.6
"Efterår","Autumn",14.6,3.45,0.09,"Closed slot injection","None",NA,0,"Afgasset biomasse","Digestate",FALSE,5.1,7.9,FALSE,FALSE,TRUE,FALSE,FALSE,168,100,75,0.026,2.6
"Marts","March",4.9,4.025,0.09,"Trailing hose","None",NA,30,"Svinegylle","Pig",TRUE,3.9,6.47,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,76,0.096,9.6
"April","April",8.5,3.91,0.09,"Trailing hose","None",NA,30,"Svinegylle","Pig",TRUE,3.9,6.47,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,77,0.11,11
"Maj","May",12.4,3.565,0.09,"Trailing hose","None",NA,30,"Svinegylle","Pig",TRUE,3.9,6.47,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,78,0.12,12
"Sommer","Summer",16.867,3.18167,0.09,"Trailing hose","None",NA,30,"Svinegylle","Pig",TRUE,3.9,6.47,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,79,0.12,12
"Efterår","Autumn",14.6,3.45,0.09,"Trailing hose","None",NA,30,"Svinegylle","Pig",TRUE,3.9,6.47,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,80,0.12,12
"Marts","March",4.9,4.025,0.09,"Trailing hose","None",NA,30,"Kvæggylle","Cattle",TRUE,6.5,6.47,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,81,0.15,15
"April","April",8.5,3.91,0.09,"Trailing hose","None",NA,30,"Kvæggylle","Cattle",TRUE,6.5,6.47,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,82,0.19,19
"Maj","May",12.4,3.565,0.09,"Trailing hose","None",NA,30,"Kvæggylle","Cattle",TRUE,6.5,6.47,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,83,0.23,23
"Sommer","Summer",16.867,3.18167,0.09,"Trailing hose","None",NA,30,"Kvæggylle","Cattle",TRUE,6.5,6.47,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,84,0.28,28
"Efterår","Autumn",14.6,3.45,0.09,"Trailing hose","None",NA,30,"Kvæggylle","Cattle",TRUE,6.5,6.47,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,85,0.26,26
"Marts","March",4.9,4.025,0.09,"Trailing hose","None",NA,30,"Afgasset biomasse","Digestate",TRUE,5.1,6.52,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,86,0.14,14
"April","April",8.5,3.91,0.09,"Trailing hose","None",NA,30,"Afgasset biomasse","Digestate",TRUE,5.1,6.52,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,87,0.17,17
"Maj","May",12.4,3.565,0.09,"Trailing hose","None",NA,30,"Afgasset biomasse","Digestate",TRUE,5.1,6.52,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,88,0.2,20
"Sommer","Summer",16.867,3.18167,0.09,"Trailing hose","None",NA,30,"Afgasset biomasse","Digestate",TRUE,5.1,6.52,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,89,0.22,22
"Efterår","Autumn",14.6,3.45,0.09,"Trailing hose","None",NA,30,"Afgasset biomasse","Digestate",TRUE,5.1,6.52,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,90,0.21,21
