"meas_part_dat","meas_full_dat","batch_arrangement","farm","subdat","weeksets","error"
27.9891710532026,28.4196369842612,15,"section6",2,"1,9,4,8,3,7,2,10",-1.51467779583876
36.0552661760921,33.3002364593696,15,"section6",3,"1,9,4,8,3,7,2,10",8.27330376492641
27.3763275648708,28.4636102278458,16,"section6",1,"1,9,4,8,3,7,2,10",-3.81990427170513
25.9777112968267,28.4196369842612,16,"section6",2,"1,9,4,8,3,7,2,10",-8.59238873736088
24.3066912673379,33.3002364593696,16,"section6",3,"1,9,4,8,3,7,2,10",-27.0074514425895
29.1566305473102,28.4636102278458,17,"section6",1,"1,9,4,8,3,7,2,10",2.43475902711194
28.0123432767574,28.4196369842612,17,"section6",2,"1,9,4,8,3,7,2,10",-1.43314183685493
24.3066912673379,33.3002364593696,17,"section6",3,"1,9,4,8,3,7,2,10",-27.0074514425895
29.1566305473102,28.4636102278458,18,"section6",1,"1,9,4,8,3,7,2,10",2.43475902711194
29.769474035642,28.4196369842612,18,"section6",2,"1,9,4,8,3,7,2,10",4.74966324210395
36.0552661760921,33.3002364593696,18,"section6",3,"1,9,4,8,3,7,2,10",8.27330376492641
29.528395138977,28.4636102278458,19,"section6",1,"1,9,4,8,3,7,2,10",3.74086387007071
28.3109692270009,28.4196369842612,19,"section6",2,"1,9,4,8,3,7,2,10",-0.382368561992641
35.0091889603098,33.3002364593696,19,"section6",3,"1,9,4,8,3,7,2,10",5.13195305092
27.4321428379386,28.4636102278458,20,"section6",1,"1,9,4,8,3,7,2,10",-3.62381082951346
28.3109692270009,28.4196369842612,20,"section6",2,"1,9,4,8,3,7,2,10",-0.382368561992641
32.3286294059605,33.3002364593696,20,"section6",3,"1,9,4,8,3,7,2,10",-2.91771818075407
24.6812187278425,28.4636102278458,21,"section6",1,"1,9,4,8,3,7,2,10",-13.2885163537791
25.5600451169049,28.4196369842612,21,"section6",2,"1,9,4,8,3,7,2,10",-10.062028128438
32.3286294059605,33.3002364593696,21,"section6",3,"1,9,4,8,3,7,2,10",-2.91771818075407
26.777471028881,28.4636102278458,22,"section6",1,"1,9,4,8,3,7,2,10",-5.92384165419498
25.5600451169049,28.4196369842612,22,"section6",2,"1,9,4,8,3,7,2,10",-10.062028128438
35.0091889603098,33.3002364593696,22,"section6",3,"1,9,4,8,3,7,2,10",5.13195305092
26.777471028881,28.4636102278458,23,"section6",1,"1,9,4,8,3,7,2,10",-5.92384165419498
27.3903145172127,28.4196369842612,23,"section6",2,"1,9,4,8,3,7,2,10",-3.62187056653281
36.0552661760921,33.3002364593696,23,"section6",3,"1,9,4,8,3,7,2,10",8.27330376492641
29.528395138977,28.4636102278458,24,"section6",1,"1,9,4,8,3,7,2,10",3.74086387007071
28.4372170958052,28.4196369842612,24,"section6",2,"1,9,4,8,3,7,2,10",0.0618590292119858
24.3066912673379,33.3002364593696,24,"section6",3,"1,9,4,8,3,7,2,10",-27.0074514425895
6.76783896377251,6.97742445161465,1,"control",1,"5,9,4,8,3,7,2,10",-3.00376577769522
6.88530092021464,6.97742445161465,2,"control",1,"5,9,4,8,3,7,2,10",-1.32030854706988
6.54854638079583,6.97742445161465,3,"control",1,"5,9,4,8,3,7,2,10",-6.14665302065108
6.48256319880461,6.97742445161465,4,"control",1,"5,9,4,8,3,7,2,10",-7.09231975554423
