"app.timing","app.mthd","man.source","acid","incorp","t.incorp","app.timing.dk","app.mthd.wthr","air.temp","wind.2m","rain.rate","notes","app.rate.ni","man.name","man.dm","man.ph","man.source.pig","app.mthd.os","app.mthd.cs","incorp.deep","incorp.shallow","ct","tan.app","id","EF","EFp","id.report","EFp.report","diff","flag","flag.acid"
"May","Closed slot injection","Pig",FALSE,"None",NA,"Maj","All",12.4,3.565,0.09,NA,0,"Svinegylle",3.9,7.2,TRUE,FALSE,TRUE,FALSE,FALSE,168,100,23,0.018,1.8,NA,NA,NA,NA,NA
"May","Open slot injection","Cattle",FALSE,"None",NA,"Maj","All",12.4,3.565,0.09,NA,0,"Kvæggylle",6.5,7,FALSE,TRUE,FALSE,FALSE,FALSE,168,100,43,0.15,15,NA,NA,NA,NA,NA
"May","Open slot injection","Digestate",FALSE,"None",NA,"Maj","All",12.4,3.565,0.09,NA,0,"Afgasset biomasse",5.1,7.9,FALSE,TRUE,FALSE,FALSE,FALSE,168,100,68,0.17,17,NA,NA,NA,NA,NA
"May","Open slot injection","Pig",FALSE,"None",NA,"Maj","All",12.4,3.565,0.09,NA,0,"Svinegylle",3.9,7.2,TRUE,TRUE,FALSE,FALSE,FALSE,168,100,18,0.099,9.9,NA,NA,NA,NA,NA
"May","Trailing hose","Cattle",FALSE,"Deep",4,"Maj","All",12.4,3.565,0.09,NA,30,"Kvæggylle",6.5,7,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,38,0.072,7.2,NA,NA,NA,NA,NA
"May","Trailing hose","Cattle",FALSE,"None",NA,"Maj","All",12.4,3.565,0.09,NA,30,"Kvæggylle",6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,28,0.3,30,"019-2010",30,0,FALSE,FALSE
"May","Trailing hose","Cattle",FALSE,"Shallow",4,"Maj","All",12.4,3.565,0.09,NA,30,"Kvæggylle",6.5,7,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,33,0.13,13,NA,NA,NA,NA,NA
"May","Trailing hose","Cattle",TRUE,"None",NA,"Maj","All",12.4,3.565,0.09,NA,30,"Kvæggylle",6.5,6.47,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,83,0.23,23,"122-2010",17,6,FALSE,TRUE
"May","Trailing hose","Digestate",FALSE,"Deep",4,"Maj","All",12.4,3.565,0.09,NA,30,"Afgasset biomasse",5.1,7.9,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,63,0.17,17,NA,NA,NA,NA,NA
"May","Trailing hose","Digestate",FALSE,"None",NA,"Maj","All",12.4,3.565,0.09,NA,30,"Afgasset biomasse",5.1,7.9,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,53,0.3,30,"093-2010",30,0,FALSE,FALSE
"May","Trailing hose","Digestate",FALSE,"Shallow",4,"Maj","All",12.4,3.565,0.09,NA,30,"Afgasset biomasse",5.1,7.9,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,58,0.2,20,NA,NA,NA,NA,NA
"May","Trailing hose","Digestate",TRUE,"None",NA,"Maj","All",12.4,3.565,0.09,NA,30,"Afgasset biomasse",5.1,6.52,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,88,0.2,20,NA,NA,NA,FALSE,NA
"May","Trailing hose","Pig",FALSE,"Deep",4,"Maj","All",12.4,3.565,0.09,NA,30,"Svinegylle",3.9,7.2,TRUE,FALSE,FALSE,TRUE,FALSE,168,100,13,0.049,4.9,NA,NA,NA,NA,NA
"May","Trailing hose","Pig",FALSE,"None",NA,"Maj","All",12.4,3.565,0.09,NA,30,"Svinegylle",3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,3,0.15,15,"056-2010",15,0,FALSE,FALSE
"May","Trailing hose","Pig",FALSE,"Shallow",4,"Maj","All",12.4,3.565,0.09,NA,30,"Svinegylle",3.9,7.2,TRUE,FALSE,FALSE,FALSE,TRUE,168,100,8,0.074,7.4,NA,NA,NA,NA,NA
"May","Trailing hose","Pig",TRUE,"None",NA,"Maj","All",12.4,3.565,0.09,NA,30,"Svinegylle",3.9,6.47,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,78,0.12,12,"155-2010",9.3,2.7,FALSE,TRUE
"Summer","Closed slot injection","Cattle",FALSE,"None",NA,"Sommer","Closed slot injection",17.55,3.105,0.09,"Summer, before winter rapeseed, for closed slot injection, 7-8.",0,"Kvæggylle",6.5,7,FALSE,FALSE,TRUE,FALSE,FALSE,168,100,50,0.016,1.6,"006-2010",1.6,0,FALSE,FALSE
"Summer","Closed slot injection","Digestate",FALSE,"None",NA,"Sommer","Closed slot injection",17.55,3.105,0.09,"Summer, before winter rapeseed, for closed slot injection, 7-8.",0,"Afgasset biomasse",5.1,7.9,FALSE,FALSE,TRUE,FALSE,FALSE,168,100,75,0.026,2.6,"080-2010",2.6,0,FALSE,FALSE
"Summer","Closed slot injection","Pig",FALSE,"None",NA,"Sommer","Closed slot injection",17.55,3.105,0.09,"Summer, before winter rapeseed, for closed slot injection, 7-8.",0,"Svinegylle",3.9,7.2,TRUE,FALSE,TRUE,FALSE,FALSE,168,100,25,0.018,1.8,"043-2010",1.8,0,FALSE,FALSE
"Summer","Open slot injection","Cattle",FALSE,"None",NA,"Sommer","Open slot injection",15.75,3.2775,0.09,"Summer-grass, for open slot injection, 5-8.",0,"Kvæggylle",6.5,7,FALSE,TRUE,FALSE,FALSE,FALSE,168,100,45,0.15,15,"005-2010",15,0,FALSE,FALSE
"Summer","Open slot injection","Digestate",FALSE,"None",NA,"Sommer","Open slot injection",15.75,3.2775,0.09,"Summer-grass, for open slot injection, 5-8.",0,"Afgasset biomasse",5.1,7.9,FALSE,TRUE,FALSE,FALSE,FALSE,168,100,70,0.17,17,"079-2010",17,0,FALSE,FALSE
"Summer","Open slot injection","Pig",FALSE,"None",NA,"Sommer","Open slot injection",15.75,3.2775,0.09,"Summer-grass, for open slot injection, 5-8.",0,"Svinegylle",3.9,7.2,TRUE,TRUE,FALSE,FALSE,FALSE,168,100,20,0.1,10,"042-2010",10,0,FALSE,FALSE
"Summer","Trailing hose","Cattle",FALSE,"Deep",4,"Sommer","Trailing hose",16.867,3.18167,0.09,"For trailing hose, 6-8.",30,"Kvæggylle",6.5,7,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,39,0.11,11,"024-2010",11,0,FALSE,FALSE
"Summer","Trailing hose","Cattle",FALSE,"None",NA,"Sommer","Trailing hose",16.867,3.18167,0.09,"For trailing hose, 6-8.",30,"Kvæggylle",6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,29,0.33,33,"020-2010",33,0,FALSE,FALSE
"Summer","Trailing hose","Cattle",FALSE,"Shallow",4,"Sommer","Trailing hose",16.867,3.18167,0.09,"For trailing hose, 6-8.",30,"Kvæggylle",6.5,7,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,34,0.17,17,"255-2010",17,0,FALSE,FALSE
"Summer","Trailing hose","Cattle",TRUE,"None",NA,"Sommer","Trailing hose",16.867,3.18167,0.09,"For trailing hose, 6-8.",30,"Kvæggylle",6.5,6.47,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,84,0.28,28,"123-2010",22,6,FALSE,TRUE
"Summer","Trailing hose","Cattle",TRUE,"None",NA,"Sommer","Trailing hose",16.867,3.18167,0.09,"For trailing hose, 6-8.",30,"Kvæggylle",6.5,6.47,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,84,0.28,28,"135-2010",22,6,FALSE,TRUE
"Summer","Trailing hose","Digestate",FALSE,"Deep",4,"Sommer","Trailing hose",16.867,3.18167,0.09,"For trailing hose, 6-8.",30,"Afgasset biomasse",5.1,7.9,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,64,0.2,20,"098-2010",20,0,FALSE,FALSE
"Summer","Trailing hose","Digestate",FALSE,"None",NA,"Sommer","Trailing hose",16.867,3.18167,0.09,"For trailing hose, 6-8.",30,"Afgasset biomasse",5.1,7.9,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,54,0.3,30,"094-2010",30,0,FALSE,FALSE
"Summer","Trailing hose","Digestate",FALSE,"Shallow",4,"Sommer","Trailing hose",16.867,3.18167,0.09,"For trailing hose, 6-8.",30,"Afgasset biomasse",5.1,7.9,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,59,0.23,23,"295-2010",23,0,FALSE,FALSE
"Summer","Trailing hose","Digestate",TRUE,"None",NA,"Sommer","Trailing hose",16.867,3.18167,0.09,"For trailing hose, 6-8.",30,"Afgasset biomasse",5.1,6.52,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,89,0.22,22,NA,NA,NA,FALSE,NA
"Summer","Trailing hose","Pig",FALSE,"Deep",4,"Sommer","Trailing hose",16.867,3.18167,0.09,"For trailing hose, 6-8.",30,"Svinegylle",3.9,7.2,TRUE,FALSE,FALSE,TRUE,FALSE,168,100,14,0.067,6.7,"061-2010",6.7,0,FALSE,FALSE
"Summer","Trailing hose","Pig",FALSE,"None",NA,"Sommer","Trailing hose",16.867,3.18167,0.09,"For trailing hose, 6-8.",30,"Svinegylle",3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,4,0.16,16,"057-2010",16,0,FALSE,FALSE
"Summer","Trailing hose","Pig",FALSE,"Shallow",4,"Sommer","Trailing hose",16.867,3.18167,0.09,"For trailing hose, 6-8.",30,"Svinegylle",3.9,7.2,TRUE,FALSE,FALSE,FALSE,TRUE,168,100,9,0.088,8.8,"275-2010",8.8,0,FALSE,FALSE
"Summer","Trailing hose","Pig",TRUE,"None",NA,"Sommer","Trailing hose",16.867,3.18167,0.09,"For trailing hose, 6-8.",30,"Svinegylle",3.9,6.47,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,79,0.12,12,"156-2010",10,2,FALSE,TRUE
"Summer","Trailing hose","Pig",TRUE,"None",NA,"Sommer","Trailing hose",16.867,3.18167,0.09,"For trailing hose, 6-8.",30,"Svinegylle",3.9,6.47,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,79,0.12,12,"168-2010",10,2,FALSE,TRUE
