"app.timing","air.temp","wind.2m","rain.rate","scenario","man.source","fraction","red.dm","man.dm","man.ph","incorp","app.mthd","t.incorp","app.rate.ni","ct","tan.app","id","EF","EFp","fraction.nm","incorp.nm","frac.incorp.nm"
NA,14.4977479635841,3.32276959833633,0.128260170445409,"low","Svinegylle","solid",NA,15,7.2,"none","Broadcast",NA,30,168,100,110,0.7084,70.84,"Fiber","Ingen","Fiber"
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"low","Kv�ggylle","solid",NA,15,7,"none","Broadcast",NA,30,168,100,111,0.4051,40.51,"Fiber","Ingen","Fiber"
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"low","Kv�ggylle","solid",NA,15,7,"none","Broadcast",NA,30,168,100,112,0.5118,51.18,"Fiber","Ingen","Fiber"
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"low","Kv�ggylle","solid",NA,15,7,"none","Broadcast",NA,30,168,100,113,0.6263,62.63,"Fiber","Ingen","Fiber"
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"low","Kv�ggylle","solid",NA,15,7,"none","Broadcast",NA,30,168,100,114,0.7333,73.33,"Fiber","Ingen","Fiber"
NA,14.4977479635841,3.32276959833633,0.128260170445409,"low","Kv�ggylle","solid",NA,15,7,"none","Broadcast",NA,30,168,100,115,0.6716,67.16,"Fiber","Ingen","Fiber"
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"low","Afgasset biomasse","solid",NA,15,7.9,"none","Broadcast",NA,30,168,100,116,0.7163,71.63,"Fiber","Ingen","Fiber"
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"low","Afgasset biomasse","solid",NA,15,7.9,"none","Broadcast",NA,30,168,100,117,0.7984,79.84,"Fiber","Ingen","Fiber"
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"low","Afgasset biomasse","solid",NA,15,7.9,"none","Broadcast",NA,30,168,100,118,0.8585,85.85,"Fiber","Ingen","Fiber"
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"low","Afgasset biomasse","solid",NA,15,7.9,"none","Broadcast",NA,30,168,100,119,0.9,90,"Fiber","Ingen","Fiber"
NA,14.4977479635841,3.32276959833633,0.128260170445409,"low","Afgasset biomasse","solid",NA,15,7.9,"none","Broadcast",NA,30,168,100,120,0.8773,87.73,"Fiber","Ingen","Fiber"
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"mid","Svinegylle","solid",NA,15,7.2,"deep","Broadcast",4,30,168,100,121,0.05475,5.475,"Fiber","Nedpløjning","Fiber med nedpløjning"
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"mid","Svinegylle","solid",NA,15,7.2,"deep","Broadcast",4,30,168,100,122,0.08025,8.025,"Fiber","Nedpløjning","Fiber med nedpløjning"
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"mid","Svinegylle","solid",NA,15,7.2,"deep","Broadcast",4,30,168,100,123,0.123,12.3,"Fiber","Nedpløjning","Fiber med nedpløjning"
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"mid","Svinegylle","solid",NA,15,7.2,"deep","Broadcast",4,30,168,100,124,0.1991,19.91,"Fiber","Nedpløjning","Fiber med nedpløjning"
