source,meas.meth,sep.meth,coagulant,slurry,DM.un,DM.sep,pH.un,pH.sep,TAN.un,TAN.sep,app.meth,app.amount.un,app.amount.sep,time,timeA,temp.app,temp.avg,soil.type,clay,crop,water.cont,emis.un,emis.sep,duration
Frost et al. (1990),Stevens chambers,sieving,no,Cattle,9.3,8.3,7.4,7.7,3.6,3.5,broadcast,21,21,june,Summer,NA,NA,clay loam,7,grass,NA,23.11,23.75,101
Frost et al. (1990),Stevens chambers,sieving,no,Cattle,9.3,7.7,7.4,7.5,3.6,3.6,broadcast,21,21,june,Summer,NA,NA,clay loam,7,grass,NA,23.11,21.84,101
Frost et al. (1990),Stevens chambers,sieving,no,Cattle,9.3,6.9,7.4,7.7,3.6,3.7,broadcast,21,20,june,Summer,NA,NA,clay loam,7,grass,NA,23.11,15.21,101
Frost et al. (1990),Stevens chambers,sieving,no,Cattle,9.3,5.8,7.4,7.8,3.6,3.7,broadcast,21,20,june,Summer,NA,NA,clay loam,7,grass,NA,23.11,13.75,101
Frost et al. (1990),Stevens chambers,sieving,no,Cattle,9.4,8.4,7.2,7.2,3,3,broadcast,25,25,august,Summer,NA,NA,clay loam,7,grass,NA,12.89,6.85,101
Frost et al. (1990),Stevens chambers,sieving,no,Cattle,9.4,8,7.2,7.2,3,3,broadcast,25,25,august,Summer,NA,NA,clay loam,7,grass,NA,12.89,7.37,101
Frost et al. (1990),Stevens chambers,sieving,no,Cattle,9.4,6.8,7.2,7.3,3,3,broadcast,25,25,august,Summer,NA,NA,clay loam,7,grass,NA,12.89,4.23,101
Frost et al. (1990),Stevens chambers,sieving,no,Cattle,9.4,5.9,7.2,7.4,3,2.9,broadcast,25,26,august,Summer,NA,NA,clay loam,7,grass,NA,12.89,1.11,101
Hjort et al. (2009),Laboratory,belt,no,Pig,4.1,0.7,7.5,7.9,3.1,2,trailing hoses,30,30,Laboratory,Laboratoryoratory,22,19.3,sandy soil,6,none,0.12,26.08,19.57,77
Hjort et al. (2009),Laboratory,belt ,yes,Pig,4.1,0.6,7.5,7.8,3.1,1.9,trailing hoses,30,30,Laboratory,Laboratoryoratory,22,19.3,sandy soil,6,none,0.12,26.08,17.55,77
Hjort et al. (2009),Laboratory,belt,yes,Pig,4.1,0.7,7.5,7.6,3.1,2,trailing hoses,30,30,Laboratory,Laboratoryoratory,22,19.3,sandy soil,6,none,0.12,26.08,4.32,77
Hjort et al. (2009),Laboratory,belt,no,Digested pig,3.4,0.6,7.8,8.3,3.3,2.5,trailing hoses,30,30,Laboratory,Laboratoryoratory,22,19.3,sandy soil,6,none,0.12,28.13,25.46,77
Hjort et al. (2009),Laboratory,belt,yes,Digested pig,3.4,1.1,7.8,8,3.3,2.6,trailing hoses,30,30,Laboratory,Laboratoryoratory,22,19.3,sandy soil,6,none,0.12,28.13,21.15,77
Hjort et al. (2009),Laboratory,belt,yes,Digested pig,3.4,1,7.8,7.9,3.3,2.9,trailing hoses,30,30,Laboratory,Laboratoryoratory,22,19.3,sandy soil,6,none,0.12,28.13,15.5,77
