;ID;Ref;Year;Country;Place;AirTemperature;Rainfall;irrigation;SoilType;Clay;SoilpH;SoilCEC;Crop;FertiliserType;Application;Depth;Method;set;id;WaterPerDay;NH3loss;SD;Reps;Application.rate;Duration;SOC;Rain.72h;Wind.7d;Temp.7d;Residues;chk;NBPT.dose;NBPT.NH3loss;NBPT.dose.1;NBPT.NH3loss.1;NBPT.dose.2;NBPT.NH3loss.2;NBPT.dose.3;NBPT.NH3loss.3;NBPT.dose.4;NBPT.NH3loss.4;inhibitor;inhibitor.NH3.loss;inhibitor.dose;Notes;Fertiliser
1422;1484;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;6.6;54;None;AS;Broadcast;;Ventilated chambers;1;ref;NA;2.5;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
1423;1485;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;6.6;54;None;AS;Broadcast;;Ventilated chambers;2;ref;NA;5.1;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
1424;1486;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;6.6;54;None;AS;Incorporated;;Ventilated chambers;1;treat;NA;1.9;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
1425;1487;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;6.6;54;None;AS;Incorporated;;Ventilated chambers;2;treat;NA;2.5;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
1426;1488;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;4.7;34;None;AS;Broadcast;;Ventilated chambers;3;ref;NA;0.7;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
1427;1489;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;4.7;34;None;AS;Broadcast;;Ventilated chambers;4;ref;NA;1.4;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
1428;1490;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;4.7;34;None;AS;Incorporated;;Ventilated chambers;3;treat;NA;0;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
1429;1491;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;4.7;34;None;AS;Incorporated;;Ventilated chambers;4;treat;NA;1.3;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
1430;1492;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;3.6;23;None;AS;Broadcast;;Ventilated chambers;5;ref;NA;0.1;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
1431;1493;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;3.6;23;None;AS;Broadcast;;Ventilated chambers;6;ref;NA;0.5;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
1432;1494;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;3.6;23;None;AS;Incorporated;;Ventilated chambers;5;treat;NA;0.1;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
1433;1495;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;3.6;23;None;AS;Incorporated;;Ventilated chambers;6;treat;NA;0.4;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
1434;1496;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Silt loam;15;8.1;30;None;AS;Broadcast;;Ventilated chambers;7;ref;NA;2.7;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
1435;1497;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Silt loam;15;8.1;30;None;AS;Broadcast;;Ventilated chambers;8;ref;NA;6.6;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
1436;1498;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Silt loam;15;8.1;30;None;AS;Incorporated;;Ventilated chambers;7;treat;NA;0.7;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
1437;1499;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Silt loam;15;8.1;30;None;AS;Incorporated;;Ventilated chambers;8;treat;NA;5.5;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
